,V1,athlete,gender,run,location,date,TurnNr,MinimalRadius,VelocityAtMinRadius,VelocityAtTurnEntry,VelocityAtTurnExit,TimeStarttoEnd,TimeStartToMinRad,TimeMinRadToEnd,GlideTime_endtostart,TimeStarttoEnd_2,Initiation,Completion,Gliding,Unnamed0,vectortonext,vector2Dtonext,GATEDISTANCE,dist2Dtonext,vectortonextnorm,vector2Dtonextnorm,STEEPNESS,azitonext,slopechangetonext,angletonext,projtonext,projpttonext,offsettonext,vectortonextnext,vector2Dtonextnext,dist3Dtonextnext,dts2Dtonextnext,vectortonextnextnorm,vector2Dtonextnextnorm,slopetonextnext,azitonextnext,HORIZONTALGATEDISTANCE,VERTICALGATEDISTANCE,regularbs1orfs2,steepness_A,filter_$,goofy2_regular1,@2Ferse_3Zehe_4Ferse,Zehen1_Fersen2,DistanzSchätz
11,46,1,2,4,Zermatt,200915,2,11.7,44.8,48.4,46.7,2.04,1.28,0.76,0.2,2.24,0.571428571428571,0.339285714285714,0.089285714285714,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
12,47,1,2,5,Zermatt,200915,2,12.55,44.8,46.5,47.7,2,1.32,0.68,0.24,2.24,0.589285714285714,0.303571428571428,0.107142857142857,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
13,48,1,2,6,Zermatt,200915,2,11.56,45.2,50.5,47.7,1.72,1.08,0.64,0.2,1.92,0.5625,0.333333333333333,0.104166666666667,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
14,49,1,2,7,Zermatt,200915,2,12.97,45.2,48.6,47.6,1.96,1.28,0.68,0.2,2.16,0.592592592592593,0.314814814814815,0.092592592592593,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
15,50,2,2,1,Zermatt,200915,2,8.25,40.6,47.5,44.7,1.6,0.76,0.84,0.2,1.8,0.422222222222222,0.466666666666667,0.111111111111111,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
16,51,2,2,2,Zermatt,200915,2,9.44,42.7,45.9,45.7,1.72,0.88,0.84,0.2,1.92,0.458333333333334,0.4375,0.104166666666667,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
17,52,2,2,3,Zermatt,200915,2,10.13,38.6,45.8,42.8,1.88,0.92,0.96,0.2,2.08,0.442307692307692,0.461538461538462,0.096153846153846,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
18,53,2,2,4,Zermatt,200915,2,11.78,41.8,51.2,42.4,1.88,1.32,0.56,0.2,2.08,0.634615384615385,0.269230769230769,0.096153846153846,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
19,54,2,2,5,Zermatt,200915,2,9.1,40.1,46,43,1.84,0.96,0.88,0.2,2.04,0.470588235294118,0.431372549019608,0.098039215686275,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
20,55,2,2,6,Zermatt,200915,2,9.52,40.5,45.1,44.4,1.92,1.2,0.72,0.2,2.12,0.566037735849057,0.339622641509434,0.09433962264151,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
